code,clinician_spans,matched_same_code,match_rate
QOP,1083,791,0.7304
NAC,385,250,0.6494
RECT,2881,1639,0.5689
QCL,1456,826,0.5673
VAC,891,490,0.5499
DIR,8719,4384,0.5028
SAC,534,207,0.3876
ASAC,227,60,0.2643
SEN,655,142,0.2168
TEN,2849,387,0.1358
LMT,1474,200,0.1357
AUR,2019,245,0.1213
MEN,167,20,0.1198
FIX,4543,209,0.046
TSH,4776,181,0.0379
INC,124,3,0.0242
NIN,758,9,0.0119
VIN,3922,34,0.0087
SIN,1782,15,0.0084
ASIN,451,1,0.0022
